346,124
299,138
131,140,1
137,87,1
144,110,1
164,60,1
167,111,1
170,166,1
176,225,1
177,250,1
182,83,1
185,58,1
188,105,1
198,225,1
199,272,1
202,144,1
206,82,1
208,58,1
213,110,1
226,189,1
229,237,1
234,100,1
237,41,1
238,216,1
238,267,1
240,62,1
248,121,1
256,91,1
256,146,1
259,213,1
262,35,1
264,58,1
266,265,1
269,115,1
277,84,1
279,240,1
282,169,1
284,28,1
286,215,1
290,55,1
294,120,1
300,82,1
301,246,1
303,171,1
306,267,1
310,192,1
314,59,1
315,122,1
323,224,1
327,31,1
327,245,1
330,150,1
331,187,1
334,269,1
335,75,1
340,109,1
347,208,1
349,28,1
349,229,1
356,72,1
356,250,1
358,160,1
362,97,1
363,121,1
369,205,1
370,37,1
377,231,1
379,160,1
384,128,1
387,69,1
387,102,1
390,200,1
391,39,1
392,16,1
403,174,1
408,89,1
408,120,1
416,64,1
419,240,1
425,168,1
430,36,1
430,88,1
430,120,1
442,193,1
451,115,1
452,76,1
454,148,1
