306,136
319,140
153,107,1
160,185,1
163,77,1
163,142,1
166,213,1
176,163,1
179,46,1
181,106,1
181,187,1
187,218,1
190,85,1
191,140,1
200,35,1
209,58,1
212,108,1
218,83,1
224,203,1
227,146,1
233,224,1
235,171,1
243,45,1
243,112,1
256,174,1
256,235,1
264,60,1
264,138,1
281,110,1
283,217,1
286,139,1
287,87,1
291,243,1
298,51,1
300,188,1
301,160,1
308,111,1
313,138,1
314,238,1
315,215,1
316,72,1
317,30,1
326,1,1
329,93,1
329,114,1
334,168,1
336,226,1
343,39,1
348,261,1
350,99,1
354,69,1
355,128,1
355,158,1
370,40,1
372,97,1
376,118,1
376,226,1
383,74,1
386,182,1
398,249,1
400,223,1
401,51,1
406,156,1
415,192,1
417,76,1
417,134,1
423,225,1
427,159,1
439,181,1
439,204,1
443,89,1
445,254,1
460,164,1
464,225,1
473,117,1
