383,151
363,165
201,192,1
210,226,1
234,81,1
241,209,1
254,260,1
256,162,1
263,202,1
264,71,1
283,126,1
285,193,1
287,242,1
296,83,1
304,220,1
305,104,1
310,152,1
313,197,1
318,73,1
320,292,1
325,52,1
326,107,1
332,156,1
339,215,1
350,104,1
352,60,1
353,264,1
361,138,1
369,202,1
373,165,1
374,68,1
383,142,1
386,116,1
400,168,1
400,194,1
407,267,1
408,123,1
408,147,1
409,71,1
411,215,1
429,166,1
431,108,1
451,157,1
455,84,1
460,110,1
468,182,1
475,221,1
476,73,1
482,150,1
496,184,1
505,127,1
507,159,1
511,98,1
511,227,1
521,201,1
526,135,1
528,165,1
