211,146
198,112
57,168,1
78,71,1
83,152,1
84,92,1
96,182,1
103,56,1
104,114,1
110,79,1
111,249,1
118,205,1
124,22,1
132,123,1
143,207,1
152,162,1
152,183,1
163,4,1
164,133,1
165,101,1
169,236,1
175,75,1
181,186,1
185,209,1
186,5,1
186,50,1
186,136,1
187,160,1
207,30,1
211,244,1
212,113,1
220,154,1
237,230,1
237,264,1
241,138,1
242,170,1
249,15,1
251,36,1
252,201,1
266,245,1
274,106,1
274,134,1
278,171,1
279,15,1
287,60,1
301,216,1
302,25,1
306,242,1
308,159,1
311,124,1
315,92,1
323,185,1
331,206,1
335,127,1
337,101,1
337,150,1
344,185,1
358,89,1
360,119,1
